file_path,report_file_path,file_size_bytes,is_valid,parse_error,mono_error,z_error,continuous_error,too_large_error,num_orig_segments,num_segments,num_z_layers,largest_layer_num_all_seg,largest_layer_all_seg_z,largest_layer_num_print_seg,largest_layer_print_seg_z,largest_layer_print_dist,larget_layer_print_dist_z
/mnt/r/200367.gcode,GenericReport0.repOut,1895013,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,55241,55241,124,651,17.15,614,17.15,1613.03,17.75
/mnt/r/200957.gcode,GenericReport0.repOut,5575207,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,164692,165709,190,1577,31.55,1516,31.55,2925.04,33.55
/mnt/r/20214.gcode,GenericReport0.repOut,721906,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22309,22309,108,273,5.55,263,5.55,286.099,9.95
/mnt/r/202688.gcode,GenericReport0.repOut,729919,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21137,22803,55,2733,0.95,2593,0.95,9338.83,0.95
/mnt/r/203069.gcode,GenericReport0.repOut,1554984,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,46968,48654,53,4520,0.95,4401,0.95,12712.2,1.55
/mnt/r/203257.gcode,GenericReport0.repOut,2284112,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62017,63058,14,5279,2.55,4761,2.55,11815.5,2.55
/mnt/r/203668.gcode,GenericReport0.repOut,442664,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,12392,14291,53,1986,0.95,1915,0.95,10855.1,0.95
/mnt/r/203685.gcode,GenericReport0.repOut,281269,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,8107,8152,24,512,1.15,487,1.15,881.14,3.55
/mnt/r/20382.gcode,GenericReport0.repOut,533876,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15175,15545,59,389,11.55,369,11.55,1014.96,0.35
/mnt/r/203972.gcode,GenericReport0.repOut,336248,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10377,10377,29,433,0.35,428,0.35,314.766,0.35
/mnt/r/203998.gcode,GenericReport0.repOut,805219,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22186,26821,232,376,0.35,369,0.35,3643.75,0.35
/mnt/r/20412.gcode,GenericReport0.repOut,411115,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11258,11812,124,305,3.35,277,3.35,1197.8,2.55
/mnt/r/20419.gcode,GenericReport0.repOut,498207,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,13201,16763,189,460,0.35,455,0.35,5470.46,0.35
/mnt/r/20434.gcode,GenericReport0.repOut,59375,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1613,1737,2,880,0.35,833,0.35,5580.64,0.35
/mnt/r/20436.gcode,GenericReport0.repOut,2203516,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,63341,63343,103,995,4.15,950,4.15,811.127,0.35
/mnt/r/204581.gcode,GenericReport0.repOut,666612,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20028,20059,54,1285,1.55,1224,1.55,3084.46,1.55
/mnt/r/204808.gcode,GenericReport0.repOut,326934,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,9502,10018,17,827,1.15,807,1.15,5017.55,1.95
/mnt/r/204872.gcode,GenericReport0.repOut,42697,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1102,1136,2,568,0.55,552,0.35,1665.26,0.35
/mnt/r/205062.gcode,GenericReport0.repOut,662353,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19185,19335,31,735,3.35,693,3.35,2306.63,2.75
/mnt/r/205135.gcode,GenericReport0.repOut,268007,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,7384,7461,14,655,0.75,598,0.75,1004.23,1.75
/mnt/r/205266.gcode,GenericReport0.repOut,664664,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19391,21804,55,2540,1.15,2462,1.15,11678.3,1.15
