file_path,biggest_num_pts,biggest_num_pts_z
/mnt/r/200107.gcode,3343,0.95
/mnt/r/200673.gcode,1960,0.95
/mnt/r/200861.gcode,470,0.95
/mnt/r/200898.gcode,721,3.35
/mnt/r/201102.gcode,1189,33.35
/mnt/r/203173.gcode,1176,36.15
/mnt/r/203998.gcode,376,0.35
/mnt/r/204181.gcode,7450,1.95
/mnt/r/204384.gcode,1178,19.75
/mnt/r/20510.gcode,739,0.95
/mnt/r/206108.gcode,2382,0.75
/mnt/r/206173.gcode,1192,0.35
/mnt/r/206253.gcode,933,0.35
/mnt/r/214851.gcode,710,7.75
/mnt/r/215462.gcode,950,2.15
/mnt/r/215805.gcode,10993,1.95
/mnt/r/215983.gcode,1154,32.75
/mnt/r/217729.gcode,987,1.15
/mnt/r/217774.gcode,987,1.15
/mnt/r/21805.gcode,1790,0.95
/mnt/r/218145.gcode,3932,1.95
/mnt/r/21828.gcode,737,5.35
/mnt/r/218317.gcode,1112,17.55
/mnt/r/218664.gcode,764,2.15
/mnt/r/218738.gcode,192,1.75
/mnt/r/21877.gcode,245,0.55
/mnt/r/218797.gcode,711,2.55
/mnt/r/218968.gcode,1859,2.95
/mnt/r/21910.gcode,1353,0.55
/mnt/r/219246.gcode,305,1.55
/mnt/r/21931.gcode,2369,4.75
/mnt/r/219858.gcode,25,0.35
/mnt/r/219964.gcode,2542,0.95
/mnt/r/220083.gcode,1449,47.15
/mnt/r/220633.gcode,440,1.15
/mnt/r/220717.gcode,7652,1.35
/mnt/r/22079.gcode,498,9.15
/mnt/r/220935.gcode,711,3.15
/mnt/r/221005.gcode,3064,43.95
/mnt/r/22349.gcode,1515,1.55
/mnt/r/223617.gcode,1280,14.15
/mnt/r/225483.gcode,1669,1.55
/mnt/r/225521.gcode,680,2.55
/mnt/r/225651.gcode,144,29.55
/mnt/r/225678.gcode,3626,0.95
/mnt/r/22644.gcode,2264,20.55
/mnt/r/229017.gcode,5927,0.95
/mnt/r/229352.gcode,1246,3.75
/mnt/r/229439.gcode,3419,0.95
/mnt/r/229474.gcode,392,3.15
