'seconds', 'completed_qty', 'remaining_qty', 'mb_processed'
0, 0, 13938, 0.0
5, 10, 13928, 58.56
10, 17, 13921, 62.02
15, 23, 13915, 70.217
20, 25, 13913, 71.665
25, 30, 13908, 80.27
31, 34, 13904, 89.348
36, 39, 13899, 93.996
41, 46, 13892, 125.255
46, 56, 13882, 145.644
51, 61, 13877, 148.418
56, 66, 13872, 155.339
61, 72, 13866, 168.037
66, 77, 13861, 170.584
71, 80, 13858, 175.542
76, 84, 13854, 178.92
81, 85, 13853, 180.605
86, 87, 13851, 181.666
91, 92, 13846, 189.565
96, 96, 13842, 232.803
101, 101, 13837, 235.332
107, 104, 13834, 444.985
112, 107, 13831, 456.824
117, 111, 13827, 490.277
122, 113, 13825, 493.264
127, 117, 13821, 498.94
132, 123, 13815, 503.232
137, 130, 13808, 516.041
142, 134, 13804, 521.849
147, 139, 13799, 527.203
152, 141, 13797, 746.031
157, 144, 13794, 755.784
162, 146, 13792, 757.086
167, 148, 13790, 759.611
173, 152, 13786, 765.085
178, 156, 13782, 777.438
183, 162, 13776, 789.261
188, 167, 13771, 796.889
193, 170, 13768, 800.079
198, 173, 13765, 827.349
203, 174, 13764, 831.778
208, 175, 13763, 834.699
213, 179, 13759, 943.933
218, 181, 13757, 947.063
223, 183, 13755, 948.512
228, 185, 13753, 957.66
233, 187, 13751, 1002.5
238, 188, 13750, 1004.56
243, 188, 13750, 1004.56
249, 189, 13749, 1012.736
254, 189, 13749, 1012.736
259, 189, 13749, 1012.736
264, 190, 13748, 1016.977
269, 192, 13746, 1024.384
274, 193, 13745, 1024.869
279, 195, 13743, 1031.316
284, 196, 13742, 1046.87
289, 196, 13742, 1046.87
294, 198, 13740, 1056.885
299, 202, 13736, 1071.634
304, 206, 13732, 1102.784
309, 213, 13725, 1111.897
314, 220, 13718, 1116.532
319, 226, 13712, 1140.294
324, 234, 13704, 1163.838
330, 243, 13695, 1177.092
335, 247, 13691, 1188.839
340, 252, 13686, 1198.517
345, 257, 13681, 1200.349
350, 259, 13679, 1204.076
355, 260, 13678, 1213.014
360, 264, 13674, 1222.856
365, 268, 13670, 1226.391
370, 273, 13665, 1237.952
376, 275, 13663, 1244.132
381, 277, 13661, 1248.751
386, 282, 13656, 1267.6
391, 286, 13652, 1272.948
396, 291, 13647, 1279.868
401, 294, 13644, 1287.563
406, 298, 13640, 1294.364
411, 302, 13636, 1301.427
416, 304, 13634, 1302.003
421, 306, 13632, 1304.091
426, 307, 13631, 1310.099
432, 308, 13630, 1310.161
437, 313, 13625, 1318.818
442, 317, 13621, 1324.6
447, 320, 13618, 1327.325
452, 322, 13616, 1330.68
457, 323, 13615, 1330.765
462, 325, 13613, 1339.194
467, 329, 13609, 1380.59
472, 332, 13606, 1420.429
477, 334, 13604, 1422.328
482, 335, 13603, 1422.879
487, 338, 13600, 1427.798
492, 339, 13599, 1428.766
497, 340, 13598, 1432.68
502, 341, 13597, 1432.701
507, 342, 13596, 1435.677
512, 343, 13595, 1437.63
517, 343, 13595, 1437.63
522, 344, 13594, 1439.443
527, 348, 13590, 1448.763
532, 349, 13589, 1448.769
538, 351, 13587, 1455.835
543, 354, 13584, 1470.398
548, 356, 13582, 1471.497
553, 357, 13581, 1472.808
558, 358, 13580, 1473.041
563, 360, 13578, 1499.423
568, 362, 13576, 1502.512
573, 366, 13572, 1520.216
578, 369, 13569, 1551.074
583, 372, 13566, 1560.933
588, 374, 13564, 1568.052
593, 376, 13562, 1571.767
598, 377, 13561, 1572.464
603, 378, 13560, 1574.61
608, 381, 13557, 1582.097
613, 384, 13554, 1587.626
618, 387, 13551, 1591.87
623, 391, 13547, 1597.957
629, 395, 13543, 1615.029
634, 397, 13541, 1617.052
639, 399, 13539, 1622.522
644, 400, 13538, 1622.872
649, 401, 13537, 1627.111
654, 402, 13536, 1632.156
659, 406, 13532, 1654.444
664, 410, 13528, 1661.17
669, 412, 13526, 1661.56
674, 412, 13526, 1661.56
679, 413, 13525, 1662.325
684, 416, 13522, 1665.647
689, 419, 13519, 1668.316
694, 420, 13518, 1668.629
699, 422, 13516, 1677.12
704, 425, 13513, 1681.755
709, 426, 13512, 1682.378
714, 426, 13512, 1682.378
719, 427, 13511, 1686.824
724, 427, 13511, 1686.824
729, 429, 13509, 1692.101
735, 432, 13506, 1695.303
740, 432, 13506, 1695.303
745, 433, 13505, 1719.011
750, 435, 13503, 1723.551
755, 439, 13499, 3049.949
760, 441, 13497, 3064.362
765, 441, 13497, 3064.362
770, 445, 13493, 3072.063
775, 449, 13489, 3372.668
780, 452, 13486, 3375.578
785, 454, 13484, 3379.883
790, 458, 13480, 3403.765
795, 460, 13478, 3405.769
800, 464, 13474, 3410.167
805, 464, 13474, 3410.167
810, 467, 13471, 3426.214
815, 470, 13468, 3431.725
821, 473, 13465, 3432.763
826, 474, 13464, 3433.156
831, 476, 13462, 3444.079
836, 478, 13460, 3444.361
841, 482, 13456, 3475.14
846, 484, 13454, 3584.697
851, 487, 13451, 3588.177
856, 493, 13445, 3596.926
861, 495, 13443, 3619.661
866, 496, 13442, 3620.123
871, 499, 13439, 3623.068
876, 501, 13437, 3632.601
881, 503, 13435, 3633.425
886, 505, 13433, 3633.947
891, 508, 13430, 3635.49
896, 510, 13428, 3638.359
901, 511, 13427, 3638.879
906, 515, 13423, 3662.112
911, 517, 13421, 3758.441
916, 519, 13419, 3759.537
921, 522, 13416, 3780.713
926, 526, 13412, 3792.164
931, 526, 13412, 3792.164
936, 529, 13409, 3795.194
941, 533, 13405, 3799.474
947, 535, 13403, 3806.816
952, 539, 13399, 3846.963
957, 543, 13395, 3850.056
962, 549, 13389, 3860.942
967, 553, 13385, 3865.56
972, 556, 13382, 3866.852
977, 561, 13377, 3871.018
982, 564, 13374, 3872.314
987, 566, 13372, 3874.391
992, 567, 13371, 3876.758
997, 571, 13367, 3882.834
1002, 574, 13364, 3884.95
1007, 577, 13361, 3886.944
1012, 580, 13358, 3890.339
1017, 582, 13356, 3891.515
1022, 583, 13355, 3892.254
1027, 585, 13353, 3901.813
1032, 586, 13352, 3902.656
1037, 587, 13351, 3902.947
1042, 589, 13349, 3921.662
1047, 592, 13346, 3925.228
1052, 593, 13345, 3925.304
1057, 593, 13345, 3925.304
1062, 594, 13344, 3930.749
1067, 595, 13343, 3931.61
1072, 597, 13341, 3938.724
1077, 598, 13340, 3941.576
1082, 599, 13339, 3942.055
1087, 601, 13337, 3945.845
1092, 602, 13336, 3946.355
1097, 602, 13336, 3946.355
1102, 602, 13336, 3946.355
1107, 602, 13336, 3946.355
1112, 604, 13334, 3980.354
1118, 608, 13330, 3999.945
1123, 610, 13328, 4000.024
1128, 612, 13326, 4000.873
1133, 615, 13323, 4050.683
1138, 619, 13319, 4076.048
1143, 621, 13317, 4112.099
1148, 623, 13315, 4193.483
1153, 624, 13314, 4197.217
1158, 627, 13311, 4200.626
1163, 630, 13308, 4204.4
1168, 634, 13304, 4211.038
1173, 638, 13300, 4213.043
1178, 641, 13297, 4213.92
1184, 646, 13292, 4270.25
1189, 649, 13289, 4279.877
1194, 652, 13286, 4294.977
1199, 657, 13281, 4302.147
1204, 663, 13275, 4645.297
1209, 665, 13273, 4645.895
1214, 670, 13268, 4654.142
1219, 673, 13265, 4663.085
1224, 676, 13262, 4665.223
1229, 681, 13257, 4669.7
1234, 683, 13255, 4673.063
1239, 686, 13252, 4674.48
1245, 691, 13247, 4686.185
1250, 694, 13244, 4686.805
1255, 696, 13242, 4690.841
1260, 699, 13239, 4697.458
1265, 703, 13235, 4714.062
1270, 706, 13232, 5625.104
1275, 707, 13231, 5625.582
1280, 710, 13228, 5637.254
1285, 710, 13228, 5637.254
1290, 710, 13228, 5637.254
1295, 710, 13228, 5637.254
1300, 711, 13227, 5642.537
1305, 713, 13225, 5644.455
1310, 716, 13222, 5646.887
1315, 721, 13217, 5658.66
1320, 725, 13213, 5664.771
1325, 731, 13207, 5671.173
1330, 734, 13204, 5747.132
1336, 739, 13199, 5767.06
1341, 744, 13194, 5814.483
1346, 746, 13192, 5816.501
1351, 747, 13191, 5817.302
1356, 751, 13187, 5831.517
1361, 756, 13182, 5842.614
1366, 760, 13178, 5845.977
1371, 761, 13177, 5847.477
1376, 765, 13173, 5851.706
1381, 767, 13171, 6508.551
1386, 770, 13168, 6511.71
1391, 772, 13166, 6515.63
1396, 773, 13165, 6515.728
1401, 777, 13161, 6521.505
1406, 780, 13158, 6538.873
1412, 782, 13156, 6539.13
1417, 785, 13153, 6554.913
1422, 788, 13150, 6631.056
1427, 790, 13148, 6633.321
1432, 796, 13142, 6680.118
1437, 799, 13139, 6717.107
1442, 802, 13136, 6718.082
1447, 804, 13134, 6718.421
1452, 807, 13131, 6732.566
1457, 811, 13127, 6770.916
1462, 816, 13122, 6830.426
1467, 822, 13116, 6839.553
1472, 823, 13115, 6840.984
1477, 825, 13113, 6853.734
1482, 829, 13109, 6858.311
1488, 836, 13102, 6877.138
