'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'200021.recompute_res', False, False, 28.859, 33, 39697, 76258, 78445, 38222
'200107.recompute_res', False, False, 4.109, 48, 8996, 16722, 17581, 8471
'200108.recompute_res', False, False, 6.172, 55, 7672, 13437, 14999, 7016
'200191.recompute_res', False, False, 2.062, 29, 11533, 12950, 14102, 10328
'200289.recompute_res', False, False, 0.094, 247, 41421, 40151, 42271, 40151
'200350.recompute_res', False, False, 1.641, 78, 16491, 23320, 25233, 15117
'200367.recompute_res', False, False, 0.719, 124, 52155, 52458, 55118, 50006
'20037.recompute_res', False, False, 57.75, 250, 200675, 276301, 287545, 189876
'20052.recompute_res', False, False, 44.391, 232, 193016, 291641, 302674, 183736
'20061.recompute_res', False, True, '', '', '', '', '', ''
'200673.recompute_res', False, False, 2.078, 53, 7596, 13594, 14420, 7056
'200722.recompute_res', False, False, 11.719, 50, 18248, 31740, 34728, 16328
'200814.recompute_res', False, False, 1.906, 275, 19788, 20926, 26414, 15624
'200861.recompute_res', False, False, 0.016, 84, 19712, 19654, 20126, 19476
'200862.recompute_res', False, False, 0.0, 49, 11701, 11573, 11838, 11573
'200891.recompute_res', False, False, 39.969, 118, 58849, 97724, 105206, 53338
'200898.recompute_res', False, False, 1.484, 31, 14640, 18292, 19288, 13723
'200957.recompute_res', False, False, 24.781, 190, 105889, 157527, 165520, 98090
'200995.recompute_res', False, False, 0.0, 1, 70, 69, 70, 69
'201018.recompute_res', False, False, 0.188, 293, 37835, 36643, 39207, 35763
'201028.recompute_res', False, False, 1.031, 99, 17830, 22493, 23337, 17239
'201102.recompute_res', False, False, 7.984, 308, 122005, 177705, 184164, 116339
'201148.recompute_res', False, False, 38.25, 57, 29562, 53098, 58023, 26744
'201199.recompute_res', False, False, 34.578, 84, 40362, 71478, 77768, 36134
'201257.recompute_res', False, False, 0.016, 59, 1731, 2422, 2938, 1556
'201428.recompute_res', False, False, 0.172, 24, 4202, 4504, 5041, 3810
'201456.recompute_res', False, False, 31.188, 13, 26624, 50354, 52940, 25225
'201585.recompute_res', False, False, 0.0, 29, 5646, 5492, 5802, 5492
'201586.recompute_res', False, False, 0.0, 29, 5651, 5538, 5796, 5538
'201618.recompute_res', False, False, 23.344, 14, 15876, 27429, 30146, 14065
'201627.recompute_res', False, False, 1.859, 14, 7576, 9020, 9703, 6910
'201662.recompute_res', False, False, 24.906, 652, 333772, 507290, 518978, 321505
'201839.recompute_res', False, False, 0.016, 54, 4004, 3736, 4122, 3736
'20189.recompute_res', False, False, 7.109, 149, 38693, 54887, 59945, 33947
'201915.recompute_res', False, False, 0.406, 38, 12941, 15978, 16640, 12195
'20197.recompute_res', False, False, 2.172, 177, 21402, 26339, 28279, 20036
'202062.recompute_res', False, False, 5.062, 89, 19660, 24570, 27825, 16531
'20210.recompute_res', False, False, 6.75, 549, 90009, 124097, 134753, 81209
'202104.recompute_res', True, False
'20214.recompute_res', False, False, 0.031, 108, 21993, 21346, 22202, 21346
'202387.recompute_res', False, False, 0.0, 1, 74, 74, 74, 74
'202409.recompute_res', False, False, 6.781, 55, 7136, 12370, 13901, 6481
'202688.recompute_res', False, False, 9.875, 55, 12211, 21479, 22749, 11466
'202742.recompute_res', False, False, 2.844, 24, 7348, 9606, 10537, 6320
'20284.recompute_res', False, False, 155.875, 99, 94927, 174739, 188454, 87537
'20299.recompute_res', False, False, 0.062, 110, 18483, 17711, 18848, 17675
'203018.recompute_res', False, False, 2.375, 98, 29536, 50386, 52267, 27711
'203069.recompute_res', False, False, 9.094, 53, 24802, 47368, 48602, 23970
'203165.recompute_res', False, False, 4.016, 118, 10596, 16557, 18400, 9297
'203173.recompute_res', False, False, 8.016, 274, 74234, 123306, 131291, 68729
'203244.recompute_res', False, False, 4.016, 22, 26180, 32680, 33099, 25829
'203257.recompute_res', False, False, 55.25, 14, 31274, 56588, 63045, 28371
'203270.recompute_res', False, False, 136.016, 175, 144342, 266483, 279889, 135815
'203336.recompute_res', False, False, 9.062, 14, 10061, 18390, 19559, 9230
'203351.recompute_res', False, False, 2.125, 14, 4011, 6358, 7015, 3429
'20340.recompute_res', False, False, 69.312, 419, 102058, 176028, 192972, 91848
'203537.recompute_res', False, False, 0.453, 56, 42531, 83308, 83781, 42213
'203632.recompute_res', False, False, 91.328, 264, 116757, 200357, 209597, 109896
'203668.recompute_res', False, False, 1.797, 53, 7456, 13386, 14239, 6936
'203685.recompute_res', False, False, 0.344, 24, 6856, 7509, 8129, 6350
'20382.recompute_res', False, False, 1.141, 59, 10929, 14106, 15487, 9575
'203972.recompute_res', False, False, 0.016, 29, 10137, 9935, 10349, 9808
'203998.recompute_res', False, False, 1.688, 232, 16340, 23954, 26590, 13684
'204018.recompute_res', False, False, 5.547, 31, 14805, 20960, 22311, 13572
'204036.recompute_res', False, False, 6.891, 59, 17191, 32242, 33410, 16378
'20412.recompute_res', False, False, 0.078, 124, 11284, 10208, 11689, 10090
'204181.recompute_res', False, False, 26.859, 13, 22070, 41523, 43482, 20930
'20419.recompute_res', False, False, 0.406, 189, 9830, 14217, 16575, 8674
'204228.recompute_res', False, False, 41.281, 64, 37050, 65930, 70347, 33433
'204251.recompute_res', False, False, 0.594, 38, 26191, 28038, 29644, 25197
'20434.recompute_res', False, False, 0.219, 2, 894, 1643, 1736, 826
'20436.recompute_res', False, False, 8.156, 103, 34739, 59494, 63239, 32019
'204384.recompute_res', False, False, 16.281, 197, 50484, 75251, 80238, 45798
'204385.recompute_res', False, False, 38.75, 34, 25963, 46643, 50771, 23745
'20452.recompute_res', True, False
'204581.recompute_res', False, False, 2.984, 54, 14523, 19270, 20006, 14092
'204625.recompute_res', False, False, 7.375, 14, 26924, 51831, 52595, 26261
'204638.recompute_res', False, False, 0.016, 32, 5123, 5049, 5218, 5049
'204808.recompute_res', False, False, 0.844, 17, 6607, 9540, 10002, 6129
'204837.recompute_res', False, False, 7.016, 55, 8164, 14366, 16123, 7477
'204872.recompute_res', False, False, 0.203, 2, 790, 1069, 1135, 718
'205062.recompute_res', False, False, 1.688, 31, 14872, 18415, 19305, 13980
'205093.recompute_res', False, False, 13.781, 61, 19655, 33593, 37735, 17296
'20510.recompute_res', False, False, 51.344, 149, 59413, 104868, 112597, 52767
'205112.recompute_res', False, False, 0.312, 277, 11525, 13751, 17882, 10063
'205135.recompute_res', False, False, 2.109, 14, 4997, 6632, 7448, 4304
'205169.recompute_res', False, False, 0.016, 29, 9184, 9085, 9394, 8958
'205266.recompute_res', False, False, 4.797, 55, 11894, 20793, 21750, 11211
'205307.recompute_res', False, False, 0.453, 194, 57348, 54814, 58509, 54415
'205407.recompute_res', False, False, 14.078, 269, 94211, 106773, 111626, 90749
'205500.recompute_res', False, False, 6.375, 53, 9712, 17513, 18712, 9008
'205855.recompute_res', False, False, 396.281, 169, 259514, 478818, 510534, 240987
'205891.recompute_res', False, False, 0.016, 39, 5846, 5651, 6003, 5608
'2059.recompute_res', False, False, 0.0, 4, 132, 130, 138, 130
'205958.recompute_res', False, False, 38.391, 49, 35742, 64760, 69460, 32898
'20598.recompute_res', False, False, 241.719, 512, 260404, 475789, 506160, 241135
'206108.recompute_res', False, False, 8.5, 55, 7708, 13216, 15300, 6900
'206155.recompute_res', False, False, 43.922, 10, 34552, 65279, 68991, 32770
'206173.recompute_res', False, False, 10.234, 42, 19836, 33702, 35481, 18212
'206202.recompute_res', False, False, 7.656, 48, 8683, 15846, 16913, 8047
'206237.recompute_res', False, False, 16.328, 49, 12090, 20980, 24322, 10773
'206253.recompute_res', False, False, 24.422, 999, 475935, 756033, 774231, 455287
'206318.recompute_res', False, False, 0.391, 53, 5905, 10479, 11175, 5497
'2064.recompute_res', False, False, 0.0, 49, 1969, 1969, 1972, 1969
'206421.recompute_res', False, False, 3.359, 31, 13864, 18033, 19190, 12725
'20650.recompute_res', False, False, 20.0, 249, 37046, 62047, 69648, 32651
'206526.recompute_res', False, False, 0.984, 249, 63033, 56163, 64729, 56110
'206564.recompute_res', False, True, '', '', '', '', '', ''
'206638.recompute_res', False, False, 0.516, 39, 18451, 17926, 19035, 17441
'206811.recompute_res', False, False, 2.391, 15, 6345, 8568, 9396, 5679
'206865.recompute_res', False, False, 0.5, 14, 3564, 3938, 4398, 3089
'206877.recompute_res', False, False, 1.109, 31, 11896, 16230, 17007, 10958
'206887.recompute_res', False, False, 0.406, 311, 138215, 134432, 138960, 134424
'206903.recompute_res', False, False, 28.391, 89, 25602, 39666, 46143, 20649
'206916.recompute_res', False, False, 0.172, 31, 3037, 4552, 4974, 2710
'206945.recompute_res', False, True, '', '', '', '', '', ''
'207039.recompute_res', False, False, 80.609, 17, 58081, 108964, 115601, 54633
'20715.recompute_res', False, False, 15.344, 149, 36564, 51771, 57879, 30552
'207211.recompute_res', False, False, 63.656, 21, 53710, 101592, 106462, 51142
'207314.recompute_res', False, False, 10.062, 53, 9691, 17352, 18817, 8905
'207343.recompute_res', True, False
'207364.recompute_res', False, False, 24.281, 13, 20966, 38574, 40807, 19769
'207368.recompute_res', False, False, 0.0, 39, 3484, 3420, 3590, 3420
'20748.recompute_res', False, False, 5.891, 348, 57634, 77621, 84641, 51312
'207494.recompute_res', False, False, 11.625, 88, 12586, 21054, 22925, 11462
'20750.recompute_res', False, False, 22.141, 349, 81074, 132415, 140704, 74002
'207799.recompute_res', False, False, 8.953, 14, 8228, 14140, 15424, 7326
'2078.recompute_res', False, False, 0.078, 27, 6847, 7253, 7617, 6504
'207802.recompute_res', False, False, 9.078, 39, 9519, 14881, 17331, 7804
'207881.recompute_res', False, False, 0.0, 99, 14945, 14748, 15239, 14748
'20794.recompute_res', False, False, 9.938, 183, 49477, 74612, 79421, 45693
'208062.recompute_res', False, False, 0.281, 43, 8510, 8519, 9362, 7802
'208203.recompute_res', False, False, 3.078, 55, 9466, 16272, 17202, 8867
'20822.recompute_res', False, False, 336.656, 99, 305824, 597681, 607346, 298992
'208232.recompute_res', False, False, 3.484, 129, 23077, 29992, 34465, 19509
'208300.recompute_res', False, False, 11.984, 99, 10540, 16550, 18646, 9341
'208326.recompute_res', False, False, 0.266, 34, 9155, 14290, 14809, 8648
'208340.recompute_res', False, False, 0.016, 5, 1122, 1252, 1300, 1077
'208341.recompute_res', False, False, 0.0, 7, 1567, 1693, 1758, 1508
