'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_base_total'
'202104.recompute_res', False, False, 464.186, 14, 21671, 38796, 41588, 19777
'20452.recompute_res', False, False, 6.234, 223, 56979, 59808, 66175, 51265
'207343.recompute_res', False, False, 909.335, 35, 55846, 98786, 105459, 51161
'210106.recompute_res', False, False, 231.81, 13, 14880, 25826, 27572, 13621
'212263.recompute_res', False, False, 110.325, 9, 9343, 14628, 16255, 8058
'213824.recompute_res', False, False, 16.015, 14, 9373, 12236, 13475, 8207
'218265.recompute_res', False, False, 59.857, 114, 31946, 54458, 58987, 28122
'221005.recompute_res', False, False, 281.655, 456, 481457, 844708, 861843, 466767
'224463.recompute_res', False, False, 1.892, 249, 79626, 70895, 81946, 70822
'225521.recompute_res', False, False, 2.948, 12, 3377, 3488, 4002, 2942
'225748.recompute_res', False, False, 968.417, 74, 143481, 263042, 274817, 133839
'225919.recompute_res', True, False
'226349.recompute_res', False, False, 2.587, 138, 51026, 53074, 56007, 48240
'226707.recompute_res', False, False, 18.126, 11, 12774, 16401, 17193, 12043
'227804.recompute_res', False, False, 119.065, 14, 13150, 21684, 23740, 11509
'228248.recompute_res', False, False, 1.822, 15, 6017, 6294, 6886, 5472
'22897.recompute_res', False, False, 1866.099, 35, 119954, 233264, 239300, 116827
'230816.recompute_res', False, False, 137.795, 63, 38496, 53578, 58326, 34994
'235183.recompute_res', False, False, 213.261, 13, 16935, 30062, 31776, 15701
'237235.recompute_res', False, False, 451.37, 8, 20309, 32583, 35004, 18570
'241955.recompute_res', False, False, 47.777, 14, 10840, 17067, 18713, 9508
'241960.recompute_res', False, False, 41.755, 14, 11549, 17358, 18879, 10226
'242585.recompute_res', False, False, 180.531, 34, 35818, 64515, 67152, 33696
'243929.recompute_res', False, False, 511.509, 39, 77969, 144151, 150362, 73113
'244659.recompute_res', False, False, 6.329, 202, 43539, 40060, 45985, 38674
'250430.recompute_res', False, False, 3.367, 244, 42118, 39670, 43058, 39308
'251945.recompute_res', False, False, 194.294, 59, 89874, 160058, 165743, 85830
'252001.recompute_res', False, False, 102.026, 333, 477342, 691706, 706017, 465291
'253776.recompute_res', False, False, 72.004, 13, 15237, 25362, 26998, 13889
'258499.recompute_res', False, False, 2.738, 9, 6022, 7571, 8058, 5582
'259593.recompute_res', False, False, 9.091, 49, 80346, 93584, 97111, 77440
'260013.recompute_res', False, False, 190.29, 14, 14030, 23961, 26258, 12411
'260135.recompute_res', False, False, 38.389, 104, 62906, 114924, 118443, 59616
'262724.recompute_res', False, False, 34.744, 14, 10654, 15854, 17302, 9382
'263041.recompute_res', False, False, 178.384, 14, 14279, 23720, 26105, 12490
'26366.recompute_res', False, False, 0.355, 63, 22938, 21147, 23795, 21147
'266874.recompute_res', False, False, 30.647, 14, 10723, 15721, 17139, 9421
'267441.recompute_res', False, False, 106.658, 14, 8148, 8335, 10783, 5988
'269211.recompute_res', False, False, 147.541, 14, 12820, 20323, 22651, 10951
'269633.recompute_res', False, False, 61.051, 40, 58600, 77943, 81570, 55134
'274625.recompute_res', False, False, 5.31, 9, 7160, 8985, 9687, 6669
'275381.recompute_res', False, False, 185.018, 10, 17068, 31312, 32924, 16033
'276317.recompute_res', False, False, 57.936, 49, 59849, 78627, 82883, 55936
'276670.recompute_res', False, False, 0.938, 14, 5159, 5239, 5682, 4756
'276830.recompute_res', False, False, 0.395, 26, 12847, 13035, 13551, 12371
'277075.recompute_res', False, False, 1221.993, 13, 36308, 68797, 71893, 34600
'278605.recompute_res', False, False, 326.48, 14, 19479, 33460, 36402, 17430
'279570.recompute_res', True, False
'283209.recompute_res', False, False, 71.19, 9, 7200, 13068, 14059, 6627
