'seconds', 'completed_qty', 'remaining_qty', 'mb_processed'
0, 0, 13938, 0.0
5, 12, 13926, 60.262
11, 23, 13915, 85.992
16, 37, 13901, 119.018
21, 50, 13888, 150.246
26, 61, 13877, 158.418
31, 70, 13868, 171.886
37, 82, 13856, 188.474
42, 91, 13847, 201.357
47, 102, 13836, 225.632
52, 114, 13824, 513.997
57, 124, 13814, 525.591
62, 133, 13805, 533.066
68, 144, 13794, 560.032
73, 153, 13785, 784.836
78, 160, 13778, 788.951
83, 168, 13770, 831.465
88, 177, 13761, 864.928
93, 184, 13754, 974.108
98, 191, 13747, 1033.468
103, 193, 13745, 1043.35
109, 198, 13740, 1056.211
114, 205, 13733, 1096.529
119, 217, 13721, 1143.506
124, 231, 13707, 1186.962
129, 244, 13694, 1223.017
134, 258, 13680, 1251.839
140, 267, 13671, 1260.39
145, 276, 13662, 1282.453
150, 286, 13652, 1314.034
155, 297, 13641, 1339.822
160, 306, 13632, 1355.231
165, 314, 13624, 1362.885
170, 323, 13615, 1375.897
175, 328, 13610, 1399.131
181, 334, 13604, 1423.23
186, 340, 13598, 1434.662
191, 344, 13594, 1441.846
196, 349, 13589, 1467.826
201, 354, 13584, 1483.573
206, 361, 13577, 1514.686
211, 368, 13570, 1547.576
216, 376, 13562, 1572.14
221, 382, 13556, 1584.55
226, 390, 13548, 1604.542
232, 400, 13538, 1639.944
237, 406, 13532, 1671.823
242, 414, 13524, 1710.845
247, 422, 13516, 1732.569
252, 429, 13509, 1738.51
257, 436, 13502, 1752.059
262, 443, 13495, 3091.717
267, 451, 13487, 3126.501
272, 461, 13477, 3444.909
277, 469, 13469, 3455.82
282, 476, 13462, 3469.108
288, 482, 13456, 3478.778
293, 488, 13450, 3612.938
298, 495, 13443, 3625.866
303, 500, 13438, 3644.021
308, 504, 13434, 3646.552
313, 511, 13427, 3678.675
318, 516, 13422, 3680.884
323, 523, 13415, 3793.91
329, 530, 13408, 3800.815
334, 536, 13402, 3811.825
339, 544, 13394, 3856.562
344, 552, 13386, 3898.427
349, 560, 13378, 3906.005
354, 567, 13371, 3941.113
359, 577, 13361, 4005.028
365, 587, 13351, 4031.522
370, 595, 13343, 4042.226
375, 602, 13336, 4069.859
380, 609, 13329, 4083.858
385, 616, 13322, 4100.121
390, 625, 13313, 4175.246
395, 632, 13306, 4265.208
401, 642, 13296, 4293.841
406, 655, 13283, 4360.851
411, 664, 13274, 4682.14
416, 675, 13263, 4737.218
421, 687, 13251, 4750.308
426, 698, 13240, 4774.86
432, 708, 13230, 4793.97
437, 713, 13225, 5705.845
442, 722, 13216, 5751.462
447, 733, 13205, 5775.769
452, 744, 13194, 5867.356
457, 751, 13187, 5889.764
462, 760, 13178, 5918.634
467, 769, 13169, 5932.186
472, 778, 13160, 6599.411
477, 788, 13150, 6668.859
483, 799, 13139, 6785.93
488, 807, 13131, 6806.549
493, 819, 13119, 6857.578
498, 831, 13107, 6872.793
503, 840, 13098, 6900.111
508, 849, 13089, 6923.316
513, 853, 13085, 6943.823
518, 858, 13080, 6956.382
523, 866, 13072, 7001.981
528, 875, 13063, 7035.05
534, 882, 13056, 7052.811
539, 889, 13049, 7079.443
544, 899, 13039, 7109.455
549, 907, 13031, 7135.227
554, 919, 13019, 7167.472
559, 930, 13008, 7269.722
565, 940, 12998, 7305.392
570, 948, 12990, 7325.474
575, 953, 12985, 7329.879
580, 958, 12980, 7346.969
585, 965, 12973, 7366.362
590, 968, 12970, 7368.463
595, 976, 12962, 7409.224
600, 982, 12956, 7456.184
605, 987, 12951, 7510.54
610, 993, 12945, 7519.699
615, 997, 12941, 7521.778
620, 1001, 12937, 7525.514
625, 1008, 12930, 7584.141
630, 1015, 12923, 7704.055
636, 1024, 12914, 7804.277
641, 1032, 12906, 7816.798
646, 1038, 12900, 7843.223
651, 1045, 12893, 7850.64
656, 1053, 12885, 7891.585
661, 1060, 12878, 7933.079
666, 1064, 12874, 7937.126
671, 1070, 12868, 7985.785
676, 1079, 12859, 8017.62
681, 1088, 12850, 8030.75
687, 1099, 12839, 8054.973
692, 1105, 12833, 8065.312
697, 1114, 12824, 8368.639
702, 1121, 12817, 8409.212
707, 1127, 12811, 8477.462
712, 1132, 12806, 8497.215
717, 1137, 12801, 8501.97
722, 1143, 12795, 8524.004
727, 1150, 12788, 8571.176
732, 1156, 12782, 8585.458
737, 1165, 12773, 8687.004
742, 1171, 12767, 8697.986
748, 1179, 12759, 8738.604
753, 1189, 12749, 8788.691
758, 1199, 12739, 8834.707
763, 1207, 12731, 8844.678
768, 1217, 12721, 8872.782
773, 1225, 12713, 8884.293
779, 1232, 12706, 8891.959
784, 1241, 12697, 8939.346
789, 1249, 12689, 8978.127
794, 1259, 12679, 8989.801
799, 1264, 12674, 9005.013
804, 1271, 12667, 9052.997
809, 1280, 12658, 9092.454
815, 1292, 12646, 9135.575
820, 1300, 12638, 9148.295
825, 1307, 12631, 9168.845
830, 1316, 12622, 9222.457
835, 1326, 12612, 9247.486
840, 1334, 12604, 9258.123
846, 1341, 12597, 9269.488
851, 1346, 12592, 9335.34
856, 1353, 12585, 9366.134
861, 1361, 12577, 9383.825
866, 1369, 12569, 9412.355
871, 1378, 12560, 11752.076
876, 1388, 12550, 11809.688
882, 1397, 12541, 11828.48
887, 1408, 12530, 11863.156
892, 1416, 12522, 11881.236
897, 1423, 12515, 11901.704
902, 1431, 12507, 11912.958
907, 1438, 12500, 11935.662
912, 1446, 12492, 11948.44
917, 1454, 12484, 11994.32
922, 1461, 12477, 12004.326
927, 1471, 12467, 12035.054
932, 1478, 12460, 12046.639
938, 1488, 12450, 12070.67
943, 1495, 12443, 12103.346
948, 1499, 12439, 12123.515
953, 1504, 12434, 12137.81
958, 1512, 12426, 12184.208
963, 1517, 12421, 12626.27
968, 1524, 12414, 14824.282
973, 1531, 12407, 14838.407
979, 1541, 12397, 14868.929
984, 1550, 12388, 14880.646
989, 1558, 12380, 14910.556
994, 1565, 12373, 15679.845
999, 1573, 12365, 15685.599
1004, 1578, 12360, 16210.689
1009, 1585, 12353, 16251.246
1014, 1590, 12348, 16259.222
1020, 1600, 12338, 16307.943
1025, 1611, 12327, 16429.823
