'file_name', 'runtime_error', 'parse_error', 'recompute_duration', 'layers_qty', 'new_time_total', 'base_time_total', 'raw_time_total', 'new_print_total'
'200021.3.recompute_res', False, False, 1.001, 33, 64310, 78445, 76258, 50259
'200107.3.recompute_res', False, False, 0.23, 48, 19341, 17581, 16722, 14825
'200108.3.recompute_res', False, False, 0.883, 55, 17443, 14999, 13437, 10075
'200191.3.recompute_res', False, False, 0.036, 29, 17385, 14102, 12950, 12893
'200289.3.recompute_res', False, False, 0.087, 247, 45231, 42271, 40151, 40151
'200350.3.recompute_res', False, False, 0.036, 78, 28716, 25233, 23320, 23320
'200367.3.recompute_res', False, False, 0.076, 124, 60698, 55118, 52458, 52334
'20037.3.recompute_res', False, False, 2.062, 250, 307114, 287545, 276301, 256871
'20052.3.recompute_res', False, False, 1.521, 232, 308120, 302674, 291641, 258966
'20061.3.recompute_res', False, True, '', '', '', '', '', ''
'200673.3.recompute_res', False, False, 0.08, 53, 15929, 14420, 13594, 11901
'200722.3.recompute_res', False, False, 0.235, 50, 42512, 34728, 31740, 31740
'200814.3.recompute_res', False, False, 0.113, 275, 37310, 26414, 20926, 20926
'200861.3.recompute_res', False, False, 0.017, 84, 20574, 20126, 19654, 19654
'200862.3.recompute_res', False, False, 0.007, 49, 12085, 11838, 11573, 11573
'200891.3.recompute_res', False, False, 1.77, 118, 121338, 105206, 97724, 89885
'200898.3.recompute_res', False, False, 0.017, 31, 21228, 19288, 18292, 18292
'200957.3.recompute_res', False, False, 0.388, 190, 186261, 165520, 157527, 157299
'200995.3.recompute_res', False, False, 0.0, 1, 73, 70, 69, 69
'201018.3.recompute_res', False, False, 0.079, 293, 44500, 39207, 36643, 36496
'201028.3.recompute_res', False, False, 0.063, 99, 23392, 23337, 22493, 20269
'201102.3.recompute_res', False, False, 0.909, 308, 160177, 184164, 177705, 129877
'201148.3.recompute_res', False, False, 1.29, 57, 47043, 58023, 53098, 28372
'201199.3.recompute_res', False, False, 0.874, 84, 92651, 77768, 71478, 67029
'201257.3.recompute_res', False, False, 0.009, 59, 3498, 2938, 2422, 2422
'201428.3.recompute_res', False, False, 0.008, 24, 5980, 5041, 4504, 4504
'201456.3.recompute_res', False, False, 2.968, 13, 55201, 52940, 50354, 39920
'201585.3.recompute_res', False, False, 0.006, 29, 6108, 5802, 5492, 5492
'201586.3.recompute_res', False, False, 0.005, 29, 5990, 5796, 5538, 5538
'201618.3.recompute_res', False, False, 2.024, 14, 36833, 30146, 27429, 25236
'201627.3.recompute_res', False, False, 0.017, 14, 11348, 9703, 9020, 9020
'201662.3.recompute_res', False, False, 2.533, 652, 521193, 518978, 507290, 440042
'201839.3.recompute_res', False, False, 0.01, 54, 4808, 4122, 3736, 3736
'20189.3.recompute_res', False, False, 0.131, 149, 72739, 59945, 54887, 54887
'201915.3.recompute_res', False, False, 0.013, 38, 18154, 16640, 15978, 15978
'20197.3.recompute_res', False, False, 0.113, 177, 30942, 28279, 26339, 23940
'202062.3.recompute_res', False, False, 0.089, 89, 35501, 27825, 24570, 24400
'20210.3.recompute_res', False, False, 0.409, 549, 157857, 134753, 124097, 124097
'202104.3.recompute_res', False, False, 1.825, 14, 44735, 41588, 38796, 28842
'20214.3.recompute_res', False, False, 0.029, 108, 23934, 22202, 21346, 21346
'202387.3.recompute_res', False, False, 0.0, 1, 74, 74, 74, 74
'202409.3.recompute_res', False, False, 0.944, 55, 16766, 13901, 12370, 9167
'202688.3.recompute_res', False, False, 0.551, 55, 25491, 22749, 21479, 17745
'202742.3.recompute_res', False, False, 0.031, 24, 12985, 10537, 9606, 9536
'20284.3.recompute_res', False, False, 5.208, 99, 213759, 188454, 174739, 137321
'20299.3.recompute_res', False, False, 0.031, 110, 20923, 18848, 17711, 17711
'203018.3.recompute_res', False, False, 0.081, 98, 57320, 52267, 50386, 48957
'203069.3.recompute_res', False, False, 0.199, 53, 48032, 48602, 47368, 41542
'203165.3.recompute_res', False, False, 0.154, 118, 21132, 18400, 16557, 13350
'203173.3.recompute_res', False, False, 0.513, 274, 151122, 131291, 123306, 119408
'203244.3.recompute_res', False, False, 0.132, 22, 34236, 33099, 32680, 32438
'203257.3.recompute_res', False, False, 10.185, 14, 70188, 63045, 56588, 36411
'203270.3.recompute_res', False, False, 6.446, 175, 277719, 279889, 266483, 207429
'203336.3.recompute_res', False, False, 0.118, 14, 22701, 19559, 18390, 18383
'203351.3.recompute_res', False, False, 0.015, 14, 8605, 7015, 6358, 6351
'20340.3.recompute_res', False, False, 0.736, 419, 231163, 192972, 176028, 175831
'203537.3.recompute_res', False, False, 0.026, 56, 84649, 83781, 83308, 83241
'203632.3.recompute_res', False, False, 1.243, 264, 225390, 209597, 200357, 186917
'203668.3.recompute_res', False, False, 0.076, 53, 15724, 14239, 13386, 11831
'203685.3.recompute_res', False, False, 0.01, 24, 9421, 8129, 7509, 7509
'20382.3.recompute_res', False, False, 0.025, 59, 18914, 15487, 14106, 14106
'203972.3.recompute_res', False, False, 0.008, 29, 11247, 10349, 9935, 9935
'203998.3.recompute_res', False, False, 0.059, 232, 31734, 26590, 23954, 23954
'204018.3.recompute_res', False, False, 0.073, 31, 25436, 22311, 20960, 20960
'204036.3.recompute_res', False, False, 0.269, 59, 30598, 33410, 32242, 24369
'20412.3.recompute_res', False, False, 0.026, 124, 14744, 11689, 10208, 10208
'204181.3.recompute_res', False, False, 2.253, 13, 43099, 43482, 41523, 31196
'20419.3.recompute_res', False, False, 0.052, 189, 20569, 16575, 14217, 13592
'204228.3.recompute_res', False, False, 0.671, 64, 83353, 70347, 65930, 64271
'204251.3.recompute_res', False, False, 0.048, 38, 29367, 29644, 28038, 25323
'20434.3.recompute_res', False, False, 0.005, 2, 1989, 1736, 1643, 1595
'20436.3.recompute_res', False, False, 0.107, 103, 71174, 63239, 59494, 59494
'204384.3.recompute_res', False, False, 0.589, 197, 88354, 80238, 75251, 64873
'204385.3.recompute_res', False, False, 1.737, 34, 62119, 50771, 46643, 46019
'20452.3.recompute_res', False, False, 0.231, 223, 81827, 66175, 59808, 58886
'204581.3.recompute_res', False, False, 0.103, 54, 20640, 20006, 19270, 17463
'204625.3.recompute_res', False, False, 0.164, 14, 54439, 52595, 51831, 50798
'204638.3.recompute_res', False, False, 0.005, 32, 5345, 5218, 5049, 5049
'204808.3.recompute_res', False, False, 0.024, 17, 11408, 10002, 9540, 9089
'204837.3.recompute_res', False, False, 0.813, 55, 17542, 16123, 14366, 10257
'204872.3.recompute_res', False, False, 0.004, 2, 1310, 1135, 1069, 1051
'205062.3.recompute_res', False, False, 0.021, 31, 21543, 19305, 18415, 18415
'205093.3.recompute_res', False, False, 0.237, 61, 46035, 37735, 33593, 32664
'20510.3.recompute_res', False, False, 1.108, 149, 116698, 112597, 104868, 76841
'205112.3.recompute_res', False, False, 0.072, 277, 21443, 17882, 13751, 12856
'205135.3.recompute_res', False, False, 0.018, 14, 9112, 7448, 6632, 6632
'205169.3.recompute_res', False, False, 0.006, 29, 9977, 9394, 9085, 9085
'205266.3.recompute_res', False, False, 0.111, 55, 22908, 21750, 20793, 18092
'205307.3.recompute_res', False, False, 0.097, 194, 66147, 58509, 54814, 54687
'205407.3.recompute_res', False, False, 0.416, 269, 114748, 111626, 106773, 99411
'205500.3.recompute_res', False, False, 0.311, 53, 20669, 18712, 17513, 15664
'205855.3.recompute_res', False, False, 61.325, 169, 541847, 510534, 478818, 362483
'205891.3.recompute_res', False, False, 0.006, 39, 6587, 6003, 5651, 5651
'2059.3.recompute_res', False, False, 0.001, 4, 138, 138, 130, 130
'205958.3.recompute_res', False, False, 1.5, 49, 80643, 69460, 64760, 59318
'20598.3.recompute_res', False, False, 7.66, 512, 466929, 506160, 475789, 311322
'206108.3.recompute_res', False, False, 1.797, 55, 18926, 15300, 13216, 9631
'206155.3.recompute_res', False, False, 7.919, 10, 58756, 68991, 65279, 43021
'206173.3.recompute_res', False, False, 0.475, 42, 40223, 35481, 33702, 29090
'206202.3.recompute_res', False, False, 0.4, 48, 19284, 16913, 15846, 14431
'206237.3.recompute_res', False, False, 2.911, 49, 29192, 24322, 20980, 14599
'206253.3.recompute_res', False, False, 4.141, 999, 814386, 774231, 756033, 709893
'206318.3.recompute_res', False, False, 0.017, 53, 11989, 11175, 10479, 9109
'2064.3.recompute_res', False, False, 0.006, 49, 1969, 1972, 1969, 1969
'206421.3.recompute_res', False, False, 0.033, 31, 21845, 19190, 18033, 18033
'20650.3.recompute_res', False, False, 0.248, 249, 86048, 69648, 62047, 62040
'206526.3.recompute_res', False, False, 0.229, 249, 83847, 64729, 56163, 56163
'206564.3.recompute_res', False, True, '', '', '', '', '', ''
'206638.3.recompute_res', False, False, 0.025, 39, 21726, 19035, 17926, 17926
'206811.3.recompute_res', False, False, 0.043, 15, 11027, 9396, 8568, 8406
'206865.3.recompute_res', False, False, 0.008, 14, 5502, 4398, 3938, 3938
'206877.3.recompute_res', False, False, 0.018, 31, 18927, 17007, 16230, 16199
'206887.3.recompute_res', False, False, 0.317, 311, 149588, 138960, 134432, 134432
'206903.3.recompute_res', False, False, 0.469, 89, 61173, 46143, 39666, 39460
'206916.3.recompute_res', False, False, 0.008, 31, 5674, 4974, 4552, 4532
'206945.3.recompute_res', False, True, '', '', '', '', '', ''
'207039.3.recompute_res', False, False, 20.708, 17, 115574, 115601, 108964, 76865
'20715.3.recompute_res', False, False, 0.821, 149, 75700, 57879, 51771, 43419
'207211.3.recompute_res', False, False, 8.124, 21, 97266, 106462, 101592, 72316
'207314.3.recompute_res', False, False, 1.347, 53, 22517, 18817, 17352, 13458
'207343.3.recompute_res', False, False, 4.604, 35, 109430, 105459, 98786, 78586
'207364.3.recompute_res', False, False, 3.413, 13, 42769, 40807, 38574, 30331
'207368.3.recompute_res', False, False, 0.006, 39, 3676, 3590, 3420, 3420
'20748.3.recompute_res', False, False, 0.63, 348, 90696, 84641, 77621, 58472
'207494.3.recompute_res', False, False, 0.348, 88, 22720, 22925, 21054, 14538
'20750.3.recompute_res', False, False, 1.035, 349, 146139, 140704, 132415, 110162
'207799.3.recompute_res', False, False, 0.156, 14, 18344, 15424, 14140, 14140
'2078.3.recompute_res', False, False, 0.007, 27, 8384, 7617, 7253, 7203
'207802.3.recompute_res', False, False, 0.199, 39, 23717, 17331, 14881, 14881
'207881.3.recompute_res', False, False, 0.02, 99, 15536, 15239, 14748, 14748
'20794.3.recompute_res', False, False, 0.626, 183, 85442, 79421, 74612, 63212
'208062.3.recompute_res', False, False, 0.013, 43, 11295, 9362, 8519, 8519
'208203.3.recompute_res', False, False, 0.088, 55, 19095, 17202, 16272, 14314
'20822.3.recompute_res', False, False, 12.772, 99, 490744, 607346, 597681, 402528
'208232.3.recompute_res', False, False, 0.199, 129, 44329, 34465, 29992, 28226
'208300.3.recompute_res', False, False, 0.404, 99, 23698, 18646, 16550, 16550
'208326.3.recompute_res', False, False, 0.018, 34, 15870, 14809, 14290, 13611
'208340.3.recompute_res', False, False, 0.001, 5, 1406, 1300, 1252, 1250
'208341.3.recompute_res', False, False, 0.002, 7, 1895, 1758, 1693, 1691
'20843.3.recompute_res', False, False, 1.462, 29, 51043, 40900, 37654, 32603
'20845.3.recompute_res', False, False, 1.394, 29, 50425, 40416, 37298, 32670
'208473.3.recompute_res', False, False, 11.667, 46, 27798, 22102, 18485, 12658
'208496.3.recompute_res', False, False, 0.283, 547, 68070, 50708, 43627, 35819
'20862.3.recompute_res', False, False, 0.001, 4, 190, 179, 166, 166
'208705.3.recompute_res', False, False, 0.03, 124, 17906, 15395, 14077, 14074
'20872.3.recompute_res', False, False, 0.877, 510, 236138, 231578, 222068, 203184
'208804.3.recompute_res', False, False, 0.142, 74, 42416, 36044, 33402, 32043
'208825.3.recompute_res', False, False, 0.032, 124, 13255, 11502, 10453, 10360
'208856.3.recompute_res', False, False, 0.274, 177, 90963, 84766, 81578, 77905
'208956.3.recompute_res', False, False, 0.021, 80, 9182, 6698, 5530, 5530
'209007.3.recompute_res', False, False, 0.033, 99, 37605, 37441, 36814, 35997
'209035.3.recompute_res', False, False, 0.641, 17, 35499, 38245, 36903, 28075
'20908.3.recompute_res', False, False, 0.355, 118, 61054, 52362, 49275, 41576
'209088.3.recompute_res', False, True, '', '', '', '', '', ''
'209095.3.recompute_res', False, False, 1.838, 49, 129333, 134494, 129959, 103716
'209133.3.recompute_res', False, False, 3.411, 524, 283287, 247979, 229199, 195208
'209150.3.recompute_res', False, False, 0.014, 29, 3891, 3588, 3255, 2691
'209154.3.recompute_res', False, False, 4.722, 124, 169068, 177323, 163509, 91485
'209220.3.recompute_res', False, False, 0.563, 124, 147121, 131697, 125602, 123642
